name,type,state,city,lat,long,status,founded_month,founded_year,summarize,cancel_reason,cancel_time,link
100 Words Film Festival,Film,NC,Charlotte,35.2270869,-80.8431268,Active,October;November,2014,,,,
168 Film Festival,Film,CA,Burbank,34.1816482,-118.3258554,Active,August,2003,,,,
80/35 Music Festival,Music,IA,Des Moines,41.5910641,-93.6037149,Active,July,2008,,,,
A Taste of Colorado,Food,CO,Denver,39.7392364,-104.9848623,Active,August;September,1895,,,,
Action On Film International Film Festival,Film,CA,Monrovia,34.1483499,-118.0014517,Active,July;August,2004,,,,
Alaska Folk Festival,Culture,AK,Juneau,58.3019496,-134.419734,Active,April,1974,,,,
Alabama Shakespeare Festival,Art,AL,Montgomery,32.3669656,-86.3006485,Active,March;April,1972,,,,
Albuquerque International Balloon Fiesta,Culture,NM,Albuquerque,35.0841034,-106.6509851,Active,October,1972,,,,
All Good Music Festival,Music,WV,Masontown,39.552306,-79.7978358,Inactive,July,1997,Unknow,Stoped information on website without reason,2016,http://allgoodfestival.com/
Allentown Art Festival,Art,NY,Buffalo,42.8867166,-78.8783922,Active,June,1958,,,,
Aloha Festivals,Culture,HI,Honolulu,21.3250785,-157.846644178573,Active,August;September,1946,Financial,In 2008 festival organizers decided to scaling down by cancelling the floral parade due to a lack of funding. But it was saved by private donors and funds from the City and County of Honolulu.,2008,https://www.hawaiimagazine.com/blogs/hawaii_today/2009/9/19/Aloha_Festivals_Hawaii_parade_2009_schedule
American Folk Festival,Culture,ME,Bangor,44.8011821,-68.7778138,Active,August,2005,,,,
Amesbury Harvest Fair and Country Music Festival,Music,MA,Amesbury,42.8579536,-70.9300921,Inactive,September,2017,N/A,"From the facebook group, it only held in 2017",2017,https://www.facebook.com/amesburymusicfest/
Amish Acres Arts & Crafts Festival,Art,IN,Nappanee,41.4427856,-86.0013699,Active,July;August,1962,,,,
Anchorage International Film Festival,Film,AK,Anchorage,61.1758781,-149.1107333,Active,December,2001,,,,
Anime Mid-Atlantic,Culture,VA,Norfolk,36.8889933,-76.2481624,Active,June,2001,Organizer,"In 2018, due to the health issues of the CEO, the convention has decided to take a hiatus for a year, and so 2019 will be the first year since its inception that Anime Mid-Atlantic will not be hosting an event, with plans to return to a new location in 2020.",2019,http://www.animemidatlantic.com/
Ann Arbor Art Fairs,Art,MI,Ann Arbor,42.2681569,-83.7312291,Active,July,1960,,,,
Ann Arbor Film Festival,Film,MI,Ann Arbor,42.2681569,-83.7312291,Active,March,1963,,,,
Apple Festival,Food,WI,Bayfield,46.4710241,-91.1983175,Active,October,1962,,,,
Apple Scrapple Festival,Food,DE,Bridgeville,38.7427231,-75.6032026,Active,October,1992,,,,
Arizona Renaissance Festival,Art,AZ,Apache Junction,33.4150484,-111.5495439,Active,February;March,1988,,,,
Arizona Roots Music & Arts Festival,Art,IN,Wayne County,39.8638778,-85.0198586,Active,February,2019,,,,
Arizona's Premier Beer Tasting Festivals,Beer,AZ,Tempe,33.4255056,-111.9400125,Active,June,1990,,,,
Arlington International Film Festival,Film,MA,Arlington,42.4153739,-71.1564428,Active,November,2010,,,,
Arnold Sports Festival,Sport,OH,Columbus,39.9622601,-83.0007065,Active,March,1989,,,,
Artscape,Art,MD,Baltimore,39.2847494,-76.6204746396999,Active,July,1982,,,,
Asian World Film Festival,Film,CA,Los Angeles,34.0536834,-118.2427669,Active,October;November,2015,,,,
Athfest,Music,GA,Athens,33.9597677,-83.376398,Active,June,1997,,,,
Atlanta Dogwood Festival,Art,GA,Atlanta,33.7490987,-84.3901849,Active,April,1936,,,,
Atlantic Music Festival,Music,ME,Waterville,44.5520105,-69.6317121,Active,June,2019,,,,
Atwood Music Festival,Music,MS,Monticello,31.5536678,-90.1072865,Active,May,1975,,,,
Austin City Limits Music Festival,Music,TX,Austin,30.2711286,-97.7436995,Active,October,2002,,,,
