State	Festival Number
Alabama	7
Alaska	2
Arkansas	4
Arizona	3
California	78
Colorado	18
Connecticut	2
Delaware	3
Florida	32
Georgia	11
Hawaii	4
Iowa	4
Idaho	3
Illinois	13
Indiana	13
Kansas	3
Kentucky	9
Louisiana	15
Maine	4
Maryland	10
Massachusetts	40
Michigan	25
Minnesota	7
Missouri	11
Mississippi	1
Montana	0
North Carolina	19
North Dakota	0
Nebraska	2
New Hampshire	1
New Jersey	12
New Mexico	2
Nevada	7
New York	68
Ohio	27
Oklahoma	2
Oregon	13
Pennsylvania	20
Rhode Island	4
South Carolina	3
South Dakota	1
Tennessee	15
Texas	33
Utah	9
Virginia	25
Vermont	2
Washington	14
Wisconsin	10
West Virginia	2
Wyoming	0
